crop_image,item_category,original_image,color,personal_color,final_color
75fa875e-461b-4cd8-a632-d6d514a451a3.jpg,trousers,497.jpg,darkslategray,winter,green
97b88795-4b5d-48bd-8d29-b7dc613a3f58.jpg,long_sleeved_shirt,497.jpg,black,winter,black
a862301a-01c4-43d6-8091-0a8a08e9ccf0.jpg,long_sleeved_outwear,504.jpg,dimgray,autumn,gray
1f09294f-c4a8-43bf-8aac-34e3e031ac95.jpg,trousers,499.jpg,gainsboro,winter,gray
85103623-0088-43c2-90d8-a9b513378f1c.jpg,short_sleeved_shirt,499.jpg,darkslategray,winter,green
9864c530-dde9-4120-bfd9-feef3992c6e7.jpg,long_sleeved_shirt,503.jpg,gray,winter,gray
17d51de8-7086-4176-8a18-3143e3b462cb.jpg,long_sleeved_shirt,503.jpg,gray,winter,gray
071893fb-69e4-4afc-ab7a-436cafecb64a.jpg,long_sleeved_shirt,503.jpg,darkgray,winter,gray
4e0688af-8555-44fc-be01-a540eb627771.jpg,long_sleeved_outwear,502.jpg,palegoldenrod,spring,yellow
a0cf1092-5704-48b5-b0ae-f78d1b44b5c7.jpg,trousers,498.jpg,steelblue,autumn,blue
83e6f69b-7d8a-4d79-91ca-52ffb2327bad.jpg,skirt,498.jpg,steelblue,autumn,blue
b5f8bfe3-e208-4bae-be26-00f2ae75a4fc.jpg,short_sleeved_shirt,498.jpg,darkgray,winter,gray
eb32f5fd-1bf7-47cc-9bf5-dc949b5ed833.jpg,trousers,511.jpg,black,winter,black
9e823960-9cc5-4ec5-b761-16ac8a8dcc4f.jpg,short_sleeved_shirt,511.jpg,black,winter,black
c565e6f1-a20a-4104-87b0-39b2f4c6b042.jpg,long_sleeved_shirt,509.jpg,dimgray,autumn,gray
915eeba7-ab51-4047-96f8-b10732c0e9cb.jpg,long_sleeved_shirt,508.jpg,lightgray,winter,gray
c3f75073-2d91-43fc-890e-1fed2a9ec1c4.jpg,skirt,515.jpg,lightslategray,summer,gray
e0d23597-671f-49d9-a489-2a64e01b78bc.jpg,long_sleeved_outwear,510.jpg,silver,summer,gray
0a39e96d-0564-4d01-beed-b8678efaaeda.jpg,long_sleeved_outwear,526.jpg,rosybrown,summer,brown
4e589b68-679e-4778-8e94-7129f83662b0.jpg,long_sleeved_outwear,517.jpg,gray,winter,gray
5d98621b-847c-4635-90e9-3982e4a13aca.jpg,trousers,517.jpg,black,winter,black
21ee07aa-c143-42eb-af2e-b128d6d7b056.jpg,trousers,519.jpg,darkolivegreen,winter,green
4cd8130b-845a-454c-8d45-6010d2c821c5.jpg,long_sleeved_shirt,519.jpg,brown,autumn,brown
fa0291ef-0392-4f29-9c57-6307d1523b59.jpg,skirt,520.jpg,yellowgreen,spring,yellow
91af78e6-d47b-4fdd-b1c0-84e6691fd291.jpg,short_sleeved_shirt,520.jpg,darkgray,winter,gray
da8f8fde-4665-424b-9a15-9e0666917509.jpg,short_sleeved_shirt,527.jpg,darkgray,winter,gray
ddf5b194-3258-4125-a93e-2661df9ca1d0.jpg,vest_dress,522.jpg,lightsteelblue,summer,blue
6bb37009-cd1a-4a2b-a5ed-fb5c1a139d5b.jpg,long_sleeved_shirt,525.jpg,lightgray,winter,gray
787538fd-71ff-4b1d-8531-59fb42893563.jpg,trousers,524.jpg,steelblue,autumn,blue
f47d0413-5820-49b0-ac1d-3c899f8d2496.jpg,short_sleeved_shirt,524.jpg,lightsteelblue,summer,blue
8942005b-78d6-4485-8c72-02ab53db6d39.jpg,trousers,518.jpg,black,winter,black
6301ae3e-06b8-4a31-90c3-bd3477906488.jpg,long_sleeved_outwear,518.jpg,darkgray,winter,gray
2cf1841a-313c-4c1d-9578-025804c091a2.jpg,trousers,529.jpg,gainsboro,winter,gray
145a1031-7ac2-4514-8011-43985c412231.jpg,long_sleeved_shirt,529.jpg,darkgray,winter,gray
06710592-3d1d-4d4a-9043-7ae681e45cfd.jpg,long_sleeved_shirt,537.jpg,black,winter,black
52305e6b-d452-4388-a224-ae9c584b4c33.jpg,short_sleeved_shirt,538.jpg,gray,winter,gray
2b9d1dec-abcb-420f-91fd-7e524498276a.jpg,short_sleeved_shirt,536.jpg,lightsteelblue,summer,blue
310559aa-a91f-4767-b1d2-42875d50ab2c.jpg,vest,536.jpg,lightsteelblue,summer,blue
1f594446-4fdf-4e47-8695-92d1035feb1d.jpg,trousers,536.jpg,darkslategray,winter,green
3d146165-3943-4f20-875a-903f9816a336.jpg,long_sleeved_shirt,539.jpg,silver,summer,gray
82325020-4249-4717-b73a-5edefa732c91.jpg,trousers,539.jpg,sienna,autumn,brown
