crop_image,item_category,original_image,color,personal_color,final_color
b7eef9c7-f087-456a-a084-2f2db8420d70.jpg,long_sleeved_outwear,0.jpg,black,winter,black
105a3427-b581-4db0-bf08-0d82be3df15b.jpg,long_sleeved_outwear,4.jpg,rosybrown,summer,brown
17d19cc9-f058-411d-8908-d6a8127f0638.jpg,long_sleeved_shirt,9.jpg,gray,winter,gray
e4260e15-796e-4ca4-86e8-7631b49986ff.jpg,trousers,9.jpg,gray,winter,gray
16d5bf95-cf7e-4079-bb0f-a8b4f3f94fb0.jpg,short_sleeved_dress,12.jpg,silver,summer,gray
3bf1cce4-cac1-4ad0-9a9a-cb4040ff12a7.jpg,trousers,6.jpg,darkgray,winter,gray
f739005c-58ee-44b9-857c-8ffcadd23261.jpg,long_sleeved_shirt,6.jpg,black,winter,black
fe1e10e6-1115-4a34-b963-35949ea1459e.jpg,long_sleeved_outwear,10.jpg,black,winter,black
23382aba-e5e3-42aa-9840-7f7f682ab1a1.jpg,long_sleeved_outwear,7.jpg,silver,summer,gray
77110335-5705-4b39-a336-41bb60f61547.jpg,long_sleeved_shirt,11.jpg,gray,winter,gray
7c1c5794-e963-4253-83b5-de132d8d2105.jpg,long_sleeved_shirt,14.jpg,darkslategray,winter,green
719ee78a-89bb-4a72-8663-f36a35263d05.jpg,long_sleeved_shirt,8.jpg,black,winter,black
784dda4e-51d3-419c-9a1e-00385f8b7e92.jpg,trousers,22.jpg,gray,winter,gray
f533cd14-904d-4128-a654-9e696ed71e54.jpg,long_sleeved_shirt,22.jpg,black,winter,black
e7705283-870e-4a4d-8e5c-7a591bce2549.jpg,long_sleeved_outwear,20.jpg,black,winter,black
25e20616-43a2-4bce-a275-d552b38a7339.jpg,skirt,18.jpg,black,winter,black
7032a086-a2a2-489f-909c-95ed667b2c4b.jpg,long_sleeved_outwear,16.jpg,lavender,winter,purple
93fb0440-0dfc-40c7-b0e4-ba85b444c3a8.jpg,long_sleeved_shirt,19.jpg,silver,summer,gray
78a3f6f2-9678-4a25-b07a-28e8ef4d2b41.jpg,long_sleeved_outwear,15.jpg,maroon,autumn,red
379199b6-e33e-440d-b0a5-0aa3e9661a0d.jpg,trousers,15.jpg,black,winter,black
7ff8a43c-e684-46e8-9a0d-9a1763e12aa6.jpg,long_sleeved_shirt,21.jpg,lightgray,winter,gray
46871e52-d444-4927-a332-54241943f13e.jpg,short_sleeved_shirt,17.jpg,darkslategray,winter,green
06d23f69-269c-4ba2-bc43-8b148a42cf47.jpg,long_sleeved_outwear,24.jpg,black,winter,black
e6d2c470-9cf1-45f2-bee9-87ac14789d05.jpg,short_sleeved_shirt,25.jpg,saddlebrown,autumn,brown
01b2e416-bae0-4b00-81db-c60660f6e5b3.jpg,trousers,27.jpg,lightblue,spring,blue
3f1d1f9a-c950-4e6a-9173-01c8d1d83f1f.jpg,long_sleeved_outwear,26.jpg,black,winter,black
0fb72994-3905-4354-b25d-ce7a1d9b0ce9.jpg,long_sleeved_shirt,30.jpg,brown,autumn,brown
59c246bb-9689-4a2f-bc53-94e405edcf3b.jpg,long_sleeved_shirt,31.jpg,silver,summer,gray
2f6741b3-bd12-4374-8fb2-c03891b7b611.jpg,skirt,31.jpg,darkkhaki,winter,green
