crop_image,item_category,original_image,color,personal_color,final_color
bdfb3f51-5009-4c29-ae72-45b120a3408b.jpg,trousers,20.jpg,black,winter,black
348814b6-a2b0-4f23-9529-b1848abd0043.jpg,short_sleeved_shirt,20.jpg,gainsboro,winter,gray
9d589910-dd7f-4bd4-bd37-1fa3c51096d2.jpg,long_sleeved_shirt,22.jpg,black,winter,black
07a5890e-f740-4329-8437-86bc47206f27.jpg,trousers,22.jpg,black,winter,black
0d6bc07e-5c3d-4e85-b21a-c7332e1127a9.jpg,short_sleeved_dress,27.jpg,silver,summer,gray
374ebb02-84e8-4b81-a88c-70f8e8f3ab8b.jpg,trousers,29.jpg,darkgray,winter,gray
900738a4-3ba8-4fe8-91d3-ce5629115896.jpg,long_sleeved_shirt,29.jpg,darkgray,winter,gray
9b7c0d0a-31ee-4243-b219-d562133bd42a.jpg,shorts,17.jpg,darkgray,winter,gray
9e172262-3c56-4866-9b64-7584ba9f5320.jpg,long_sleeved_shirt,17.jpg,darkgray,winter,gray
1845a567-0cf8-4635-bbe9-d62da7e3ca42.jpg,long_sleeved_shirt,19.jpg,gray,winter,gray
afdf66c9-390d-41ea-abd0-6795ea75485c.jpg,trousers,19.jpg,black,winter,black
5c49a73d-7ab3-4210-927e-a1b5376a4b64.jpg,skirt,19.jpg,black,winter,black
6cbd1b79-cf9e-4681-ac78-d42f6aad9c69.jpg,long_sleeved_outwear,39.jpg,rosybrown,summer,brown
84c1e486-2b98-4358-b748-6a88c699f0c3.jpg,trousers,35.jpg,silver,summer,gray
5c52a377-284b-494e-b884-b86a0dbb0eef.jpg,long_sleeved_shirt,35.jpg,darkslategray,winter,green
80583633-c74a-40ee-8955-d3a8fe32c595.jpg,long_sleeved_shirt,37.jpg,dimgray,autumn,gray
b4acfd0b-b2d7-4d7b-983a-bba35608071a.jpg,trousers,31.jpg,lightslategray,summer,gray
45f061db-91f6-48ba-ba12-19dea9646908.jpg,trousers,34.jpg,black,winter,black
9017a0ed-17a8-47f4-82d5-8f32ada7d6b9.jpg,long_sleeved_shirt,34.jpg,gray,winter,gray
79d0f34c-3c6c-49bc-b4f1-ef36c33d41af.jpg,short_sleeved_shirt,34.jpg,gray,winter,gray
91dc596d-31b7-4e39-8ff8-1297dce4e737.jpg,long_sleeved_outwear,38.jpg,darkslategray,winter,green
345a50de-fdd7-4877-a2b2-2fe0ad1a0eeb.jpg,trousers,43.jpg,saddlebrown,autumn,brown
39d20f97-d702-4e32-b2ef-883ad62d880c.jpg,long_sleeved_shirt,43.jpg,darkgray,winter,gray
dfe44b6e-25f6-4cfd-859f-f307e2834397.jpg,trousers,40.jpg,darkslategray,winter,green
bf5f835b-849b-409a-bb88-6436cf6cc092.jpg,long_sleeved_outwear,50.jpg,gray,winter,gray
c744641e-2a07-4345-b90a-5c14d02c05d7.jpg,long_sleeved_shirt,50.jpg,gray,winter,gray
b5e41e13-3170-4db4-b2fc-c4606279c0fc.jpg,long_sleeved_shirt,41.jpg,darkgray,winter,gray
77f44bda-1c8a-4635-886f-4b5cc409a87d.jpg,trousers,52.jpg,darkslategray,winter,green
4d302cb0-48a6-4a19-ae0a-da941daa9546.jpg,long_sleeved_shirt,52.jpg,lightgray,winter,gray
c8478544-a89a-4eea-89dd-c314fc27b5e5.jpg,long_sleeved_outwear,46.jpg,darkgray,winter,gray
aaaa40f4-3886-48b7-b116-c23c7d9066ed.jpg,trousers,46.jpg,darkgray,winter,gray
e58d1004-45ee-45b7-bc1b-ea48726a1b6e.jpg,trousers,44.jpg,gray,winter,gray
882dc5ce-4fed-4739-9385-b6aa96f82d11.jpg,skirt,49.jpg,black,winter,black
664d4b99-5d8b-4f95-980b-5f2c500e1540.jpg,trousers,49.jpg,black,winter,black
d85f388c-51a0-41b2-9aa4-94f08ad461fa.jpg,trousers,45.jpg,black,winter,black
6d7fe828-4aa1-4905-9256-fdd135581531.jpg,long_sleeved_shirt,45.jpg,darkgray,winter,gray
13d24649-6bd5-41ce-b11d-280ddc4338da.jpg,trousers,47.jpg,lightsteelblue,summer,blue
2848aa21-ab07-4005-b7ec-7dc47320739a.jpg,long_sleeved_shirt,47.jpg,black,winter,black
f6f01a97-947c-4809-a02e-41be33738993.jpg,long_sleeved_shirt,54.jpg,black,winter,black
d185420d-aceb-45cc-9195-427e45bb98ac.jpg,skirt,54.jpg,darkslategray,winter,green
821f9907-3bfb-42d9-b593-05eb425e7606.jpg,trousers,57.jpg,darkslategray,winter,green
634c21b5-5ed1-42e0-9eb9-07290ed929dd.jpg,long_sleeved_shirt,57.jpg,darkgray,winter,gray
fb6191e3-6e24-4a22-8863-7461704a594e.jpg,long_sleeved_outwear,58.jpg,black,winter,black
54515368-9ad3-4c86-90d9-ebaf9e76f7d5.jpg,long_sleeved_outwear,59.jpg,dimgray,autumn,gray
a13e1518-c2d7-4427-a222-842d4da96cea.jpg,long_sleeved_shirt,55.jpg,black,winter,black
