crop_image,item_category,original_image,color,personal_color,final_color
f98bd4a3-5174-4619-a61b-d61c84459d19.jpg,long_sleeved_outwear,122.jpg,silver,summer,gray
6eb73984-a9f1-4ee3-8da2-60d37030ae55.jpg,long_sleeved_shirt,122.jpg,silver,summer,gray
1549b17b-0f7d-4ffa-9787-02ed57509ae8.jpg,long_sleeved_shirt,120.jpg,sienna,autumn,brown
d74bbad9-35b8-4c92-b532-64761e0a4173.jpg,skirt,117.jpg,black,winter,black
fa2a9051-1c2f-44e9-bdf9-50acc8c43955.jpg,short_sleeved_shirt,117.jpg,black,winter,black
c268f291-b1c8-409c-960d-8ac072dcdcb1.jpg,long_sleeved_shirt,118.jpg,tan,autumn,brown
4a778d0e-bae2-4e3d-9b29-b996696ddc70.jpg,trousers,116.jpg,black,winter,black
0715bcc9-ba32-49d8-ae6d-6ad88b37cd3d.jpg,long_sleeved_shirt,116.jpg,darkslategray,winter,green
7e42e030-ed47-4fc7-ae48-c1d8abbaeebd.jpg,skirt,124.jpg,darkslategray,winter,green
387877f9-2bbd-4687-a1d1-853afc35d3dc.jpg,short_sleeved_shirt,128.jpg,thistle,summer,purple
f4808f86-8589-4f7e-9c0a-3eb26e0e80f9.jpg,trousers,132.jpg,dimgray,autumn,gray
626ec7b6-d025-47b9-bc48-5ce9e780f09d.jpg,long_sleeved_outwear,132.jpg,darkslategray,winter,green
3dbb531e-a9e6-40a8-9799-281feb0d5421.jpg,skirt,134.jpg,darkgray,winter,gray
0ff256f5-3985-40c5-aafd-3e7ef10ba620.jpg,skirt,133.jpg,dimgray,autumn,gray
145f21f7-cd64-4583-8c4f-63cade3d3da8.jpg,trousers,135.jpg,black,winter,black
df16ed43-4ff7-4ee0-8ab1-7d938613aca0.jpg,long_sleeved_shirt,135.jpg,tan,autumn,brown
d9c180a3-e31e-409d-8a60-7deb3804bc45.jpg,long_sleeved_shirt,137.jpg,darkkhaki,winter,green
e98ed7d7-6aaa-4df3-9bc5-b9508668711d.jpg,trousers,137.jpg,darkkhaki,winter,green
6aded4ec-8c41-4051-8fb8-2f178ee6bb4c.jpg,long_sleeved_shirt,141.jpg,black,winter,black
a67628c5-b38a-41f9-b316-349589bea7c9.jpg,trousers,150.jpg,gray,winter,gray
96aef434-39f8-4f25-8c96-ce4cc9c64a06.jpg,short_sleeved_shirt,145.jpg,sienna,autumn,brown
c0afe5fc-c81b-4340-9283-9b8038211010.jpg,long_sleeved_shirt,151.jpg,black,winter,black
a1cd21e4-49cf-45c8-8506-2d8e60fb9569.jpg,trousers,148.jpg,black,winter,black
42b4e061-94fa-456f-9ba1-aa0674cea7f2.jpg,short_sleeved_shirt,148.jpg,lightslategray,summer,gray
b5a02564-7eec-4362-994a-2d2a5491d536.jpg,trousers,155.jpg,black,winter,black
373fc66d-f5a0-460f-b6df-77bd5ee7da94.jpg,long_sleeved_shirt,155.jpg,dimgray,autumn,gray
6076936c-55c1-4685-9492-354b4b4ab151.jpg,trousers,153.jpg,black,winter,black
e3feb7f1-36fb-4709-b059-6aed459ef7a5.jpg,long_sleeved_shirt,153.jpg,black,winter,black
a298bc29-4cd7-4aaf-bb1a-633ba3a3ba45.jpg,vest_dress,156.jpg,lightslategray,summer,gray
09dc82ee-909f-4d7c-a30a-ec9329877af4.jpg,long_sleeved_shirt,162.jpg,black,winter,black
25c28566-bb3a-4b6a-a7b6-0afb2a72952b.jpg,long_sleeved_outwear,162.jpg,black,winter,black
70cf9a84-ac9e-4718-ae6c-94d1f9f23d85.jpg,long_sleeved_shirt,161.jpg,silver,summer,gray
643a786a-b1b2-4511-9064-bab023b0aab1.jpg,trousers,161.jpg,black,winter,black
21a42b45-317c-4661-8f2c-f58f771f1e6c.jpg,skirt,176.jpg,dimgray,autumn,gray
3f18ec8d-15ed-4ff0-8892-a05d390d22fb.jpg,skirt,166.jpg,gray,winter,gray
7218a933-b37c-4747-85ce-25461c97dfbc.jpg,long_sleeved_shirt,166.jpg,black,winter,black
714c3b62-3468-4ce6-a3b8-06545720ffa2.jpg,long_sleeved_shirt,167.jpg,darkslategray,winter,green
2b6881e1-8021-42f4-a781-1c81d035b920.jpg,skirt,167.jpg,darkslategray,winter,green
1e0fda3c-46ce-4f6d-a01f-dfaf022c5af3.jpg,trousers,171.jpg,black,winter,black
a7bfc1dd-7c19-406f-a841-ebeeef725abb.jpg,long_sleeved_shirt,171.jpg,black,winter,black
6c1607d0-b572-4c7d-a294-30bdab5fa719.jpg,vest_dress,173.jpg,black,winter,black
edb39ad5-ed92-46a2-aeb1-80a321ef798d.jpg,trousers,178.jpg,black,winter,black
215190c5-5568-4af2-a197-99934d1ac40e.jpg,long_sleeved_shirt,178.jpg,black,winter,black
e593ca10-937a-421f-addd-a8a7ba427165.jpg,long_sleeved_shirt,180.jpg,gray,winter,gray
7907e004-03ac-4362-81be-4b32b082ac48.jpg,skirt,195.jpg,darkslategray,winter,green
a321f150-25bb-4578-872a-1a87fa007a38.jpg,long_sleeved_shirt,195.jpg,dimgray,autumn,gray
e5205751-e61f-425c-b709-27d71cd9df82.jpg,short_sleeved_dress,195.jpg,darkslategray,winter,green
97c4bec7-576a-473d-8a80-7a91ab97d102.jpg,long_sleeved_shirt,202.jpg,darkslategray,winter,green
53a2cdbd-e8f0-49c1-abff-ca61b96ee55e.jpg,trousers,204.jpg,rosybrown,summer,brown
619d3f61-8189-477a-85d3-569a04347be7.jpg,long_sleeved_outwear,204.jpg,rosybrown,summer,brown
3a614edd-50ae-4703-bf42-59800a0c7c17.jpg,skirt,208.jpg,silver,summer,gray
0a30b8a4-cf46-4695-90b7-d264ebf0bee5.jpg,long_sleeved_shirt,208.jpg,black,winter,black
63a79ced-d90c-40f1-bf78-0c1dc7b560a9.jpg,short_sleeved_shirt,215.jpg,black,winter,black
1424e5ea-c488-43aa-8cd7-de03e19590c8.jpg,short_sleeved_dress,215.jpg,black,winter,black
47b5bfad-5280-4903-8d67-9ff38a7e4a8b.jpg,long_sleeved_shirt,209.jpg,lightgray,winter,gray
b1f60151-4136-40ee-a415-8dc3c7b3ade7.jpg,skirt,209.jpg,black,winter,black
025caab9-3f22-484c-a6d9-3c8dfae9a9cf.jpg,long_sleeved_shirt,212.jpg,maroon,autumn,red
ade78c9e-9c1d-4631-803f-f323315a54a6.jpg,skirt,212.jpg,dimgray,autumn,gray
991d9b57-cc4c-45b8-a59f-88c7c9680529.jpg,short_sleeved_shirt,211.jpg,darkgray,winter,gray
2cff0439-3f7e-47fc-8943-d57fc08a9c57.jpg,skirt,213.jpg,black,winter,black
f5f47580-3d73-41f9-b4f0-328b416c1cb1.jpg,long_sleeved_shirt,217.jpg,rosybrown,summer,brown
fcbfd512-a2b6-4c45-b4a6-0379297b2737.jpg,skirt,218.jpg,lightpink,spring,pink
267726f9-8c0b-41df-90e4-31509f9a365a.jpg,short_sleeved_shirt,218.jpg,black,winter,black
7109e978-c8ce-4aef-82fa-0645df62e179.jpg,long_sleeved_shirt,220.jpg,rosybrown,summer,brown
ae0462d0-f805-4b57-adc2-e8caeb4e72e6.jpg,trousers,221.jpg,darkslategray,winter,green
2cabf83e-c932-4d61-a702-de4306c71de2.jpg,short_sleeved_shirt,221.jpg,sienna,autumn,brown
4122f459-dacf-4c86-80ef-baae4403fd96.jpg,long_sleeved_shirt,219.jpg,gray,winter,gray
1845c6e6-3f0a-4e9e-8f96-6804251c185e.jpg,long_sleeved_outwear,222.jpg,dimgray,autumn,gray
76e28664-d153-4ac4-81c8-f1eae2b801d2.jpg,trousers,222.jpg,black,winter,black
da6de981-1d16-4f04-8d8c-8e824aa06e7d.jpg,trousers,228.jpg,black,winter,black
5909914f-1c2d-4f12-bab7-27e8634e0f27.jpg,long_sleeved_shirt,233.jpg,black,winter,black
2680ca8d-c2df-4a22-8823-1c3f106abbb7.jpg,skirt,230.jpg,rosybrown,summer,brown
baf8d888-d152-459d-bdb6-1662ff461b47.jpg,long_sleeved_shirt,230.jpg,lavender,winter,purple
3aa1e073-0b75-41d7-ab67-1598917c1759.jpg,short_sleeved_shirt,231.jpg,black,winter,black
24eb00b0-2698-404d-b5de-1106eeb0fabf.jpg,skirt,231.jpg,black,winter,black
185ad142-4ceb-4e21-9940-7741e3aeae77.jpg,long_sleeved_outwear,244.jpg,black,winter,black
13c0835a-1b21-46a8-9943-ec42e69cdc60.jpg,long_sleeved_shirt,244.jpg,black,winter,black
ea4e545d-fcd8-4fde-aebf-96cdd2158b52.jpg,skirt,235.jpg,black,winter,black
635f1501-c6b4-4a1c-b70c-ae66b96585ce.jpg,long_sleeved_shirt,235.jpg,black,winter,black
dbd20e27-2b3c-407d-871c-546a4682e446.jpg,skirt,240.jpg,firebrick,autumn,red
621e0661-d432-4004-bbb6-0554624a8284.jpg,long_sleeved_shirt,240.jpg,silver,summer,gray
9e0d990a-f94b-4547-a13d-60a6160ebebb.jpg,long_sleeved_shirt,239.jpg,rosybrown,summer,brown
181b1b7f-4f63-4ae4-bbc9-4f6ad1e6f0e8.jpg,long_sleeved_outwear,239.jpg,white,winter,white
6c2321e0-77fa-4fcd-9e44-67b1523e9f64.jpg,trousers,239.jpg,silver,summer,gray
d209394c-d170-4fa3-9e50-1d28f8a5973d.jpg,short_sleeved_shirt,236.jpg,black,winter,black
f2ddb3b0-69d7-4b43-94c4-031bc564b4db.jpg,trousers,252.jpg,darkolivegreen,winter,green
d0a284e8-c8c2-46df-b861-fcf66cc2d37d.jpg,long_sleeved_shirt,252.jpg,darkolivegreen,winter,green
cdf9abf0-e863-414e-93b5-bdc834540cdf.jpg,long_sleeved_shirt,249.jpg,indianred,autumn,red
1d8085ce-a428-4f94-a1ed-309a582e79a0.jpg,long_sleeved_shirt,250.jpg,darkgray,winter,gray
f21927ae-def3-4512-a754-d5b71adc37f3.jpg,trousers,250.jpg,darkslategray,winter,green
6968ab57-4c22-468b-8981-f46ea95da17f.jpg,long_sleeved_shirt,255.jpg,rosybrown,summer,brown
6f92e349-5704-4cfb-a8d4-32d6d2c0cedb.jpg,trousers,255.jpg,saddlebrown,autumn,brown
04770e53-4f13-46db-be77-1331424bb36e.jpg,trousers,260.jpg,black,winter,black
93ac4ea4-8525-4b62-9bc5-a0d90bb0db18.jpg,long_sleeved_shirt,260.jpg,tan,autumn,brown
1784f746-d38e-404f-9f91-76b340d11946.jpg,vest,256.jpg,lightsteelblue,summer,blue
b8b5edbd-8e5b-41eb-b874-3793fab98c37.jpg,vest_dress,256.jpg,gainsboro,winter,gray
390680e3-4904-4f57-887c-555de0307493.jpg,long_sleeved_outwear,262.jpg,black,winter,black
3e72c6ad-3dd4-4813-be35-de38b4441d29.jpg,long_sleeved_shirt,271.jpg,black,winter,black
79a620f9-5d00-4940-b528-128ce705154c.jpg,skirt,265.jpg,rosybrown,summer,brown
d383891b-7356-470f-b59d-d0f63d7c31ba.jpg,long_sleeved_shirt,265.jpg,rosybrown,summer,brown
1110064e-9f23-45e7-b66f-063de04f535c.jpg,short_sleeved_shirt,267.jpg,black,winter,black
e64a4036-42d7-4c64-a824-1fe2a1eb972c.jpg,long_sleeved_shirt,267.jpg,black,winter,black
d1a3a36e-2800-406c-91b4-4351d5fc3650.jpg,skirt,267.jpg,black,winter,black
068b9897-137f-4904-b54f-04f5dda0520e.jpg,short_sleeved_dress,264.jpg,pink,winter,pink
f2ddd09c-4679-44d7-8a36-46c661cd01d3.jpg,short_sleeved_shirt,266.jpg,lightslategray,summer,gray
f2794b83-7d4e-4ea9-86de-a85d30dc6338.jpg,skirt,266.jpg,white,winter,white
ecbed24f-b09a-4cd4-abf0-fea09a3ba587.jpg,long_sleeved_shirt,270.jpg,black,winter,black
52a260a9-69d8-4dd5-955a-07d5aa145708.jpg,skirt,270.jpg,black,winter,black
