crop_image,item_category,original_image,color,personal_color,final_color
17f8976d-16e9-486c-9c63-ec9c02aae49d.jpg,long_sleeved_outwear,439.jpg,gray,winter,gray
27cbba73-9db8-465e-9f41-a547010e2e39.jpg,trousers,442.jpg,darkslategray,winter,green
9f66340f-761b-460f-9331-bd044313a1f9.jpg,long_sleeved_shirt,442.jpg,burlywood,autumn,white
74bf002d-9f13-4a62-97e6-f08827b6b2b4.jpg,long_sleeved_outwear,441.jpg,dimgray,autumn,gray
62ac036c-584f-43be-acc0-b53806a47a0b.jpg,trousers,453.jpg,black,winter,black
d2e64e1c-08d9-4b63-9e21-cbc3a868c5dc.jpg,long_sleeved_shirt,453.jpg,gray,winter,gray
81f4b2a3-233a-43a6-a335-21b8f9c406df.jpg,trousers,447.jpg,silver,summer,gray
dc81729e-b87d-4688-8b4c-e070ac22a50e.jpg,sling_dress,454.jpg,black,winter,black
0f9424c3-b0df-408b-b3ed-cf1f6c380c28.jpg,short_sleeved_shirt,454.jpg,sienna,autumn,brown
8741dd7c-63fa-43a4-9236-4f6b2d4779be.jpg,trousers,454.jpg,black,winter,black
0111c45b-d7b3-4ec9-bf73-ab7b9b48282d.jpg,short_sleeved_shirt,452.jpg,darkslategray,winter,green
f15720bd-fdee-4ba1-a97d-3666d59ca496.jpg,skirt,452.jpg,black,winter,black
4f0de1e8-7892-4c1d-95ab-3a8db10bb277.jpg,long_sleeved_shirt,462.jpg,lightsteelblue,summer,blue
634d23ba-020e-4d16-859b-c8955e2db780.jpg,long_sleeved_outwear,462.jpg,lightsteelblue,summer,blue
2ecf4794-0b69-4acd-8910-a938172f0911.jpg,trousers,458.jpg,black,winter,black
37e5c944-6c4e-4199-b83b-636a3cb2d493.jpg,short_sleeved_shirt,458.jpg,lightgray,winter,gray
df0c21be-8d81-4924-aa26-1e294ec4d29b.jpg,long_sleeved_outwear,458.jpg,lightgray,winter,gray
5d01997a-ec6b-4092-89e4-18c07c079ec7.jpg,trousers,464.jpg,dimgray,autumn,gray
7fe5bb55-92a8-49f7-b8d6-944beb0e7e9a.jpg,long_sleeved_shirt,464.jpg,dimgray,autumn,gray
eef45f13-7b16-46f1-87a9-5d87cc80c6f4.jpg,trousers,460.jpg,black,winter,black
e3d7b6f9-c306-4414-8557-ce3c094cc7bd.jpg,trousers,461.jpg,wheat,autumn,brown
210d655d-7e21-4b3b-92fd-681ebc915d3a.jpg,short_sleeved_shirt,461.jpg,darkslategray,winter,green
4edb6ad1-01aa-418f-ba41-e1ce87a70a02.jpg,long_sleeved_shirt,461.jpg,darkslategray,winter,green
2001a8d1-3159-4ba4-a554-573006e1e454.jpg,short_sleeved_shirt,459.jpg,silver,summer,gray
222f421a-7e5d-4f6c-856e-8d7fdb424fed.jpg,trousers,459.jpg,black,winter,black
44ad325b-a3e5-479a-8f15-433b647e9a98.jpg,long_sleeved_shirt,457.jpg,black,winter,black
1fc65a21-b146-423a-aa77-adcbd00679a2.jpg,skirt,457.jpg,darkslategray,winter,green
293b887f-65f8-4315-87b3-abcdaec040b1.jpg,trousers,474.jpg,gray,winter,gray
fc6cd1c0-f477-41cf-8f02-34b07181fa7b.jpg,long_sleeved_shirt,474.jpg,lavender,winter,purple
822468de-950c-4b51-8d02-c5ec5006d902.jpg,long_sleeved_outwear,470.jpg,silver,summer,gray
23f84be8-fb76-4804-afe3-b856d925942a.jpg,long_sleeved_shirt,470.jpg,silver,summer,gray
177883fd-4880-4622-8d3e-4efeb70c5a7b.jpg,trousers,465.jpg,darkslategray,winter,green
b5620705-a706-489a-ad47-3545e63a3075.jpg,long_sleeved_outwear,465.jpg,saddlebrown,autumn,brown
516b557f-ef57-4064-8044-968c42fc8fd2.jpg,long_sleeved_shirt,471.jpg,darkslategray,winter,green
aae13e2d-b0b7-4b5e-b595-4810a3536b96.jpg,long_sleeved_shirt,473.jpg,silver,summer,gray
b34bb455-461a-424f-902c-4d3ec9b5eaa6.jpg,shorts,473.jpg,gray,winter,gray
dcb9452b-4f07-4d03-aee3-83d66cbc7048.jpg,trousers,472.jpg,darkslategray,winter,green
dfc7804e-df73-45b8-af65-cf9d584caaf4.jpg,short_sleeved_shirt,472.jpg,chocolate,autumn,brown
27f26191-d631-458f-88ef-899c6812d46e.jpg,short_sleeved_dress,472.jpg,chocolate,autumn,brown
e71fca60-8bd3-469d-bccc-844ddc41bf08.jpg,trousers,469.jpg,gray,winter,gray
81df0a78-6604-4379-a7df-4cec8ae52036.jpg,long_sleeved_shirt,469.jpg,black,winter,black
