crop_image,item_category,original_image,color,personal_color
d8303033-4307-44de-b506-1c3893c2ee35.jpg,skirt,598.jpg,black,winter
db897749-4502-4f22-9848-38c56878e78c.jpg,sling,598.jpg,black,winter
fdfe249f-a4be-4f17-87ae-0bf4c3e17abc.jpg,skirt,413.jpg,black,winter
2e5bbc6b-673b-45c5-a124-2eddc0166471.jpg,trousers,413.jpg,darkslategray,winter
63309b18-4a9b-4f61-984e-c978be2197d6.jpg,vest,413.jpg,black,winter
5cecf5a4-9da9-42c3-adaa-40a7f1998195.jpg,trousers,573.jpg,black,winter
8f906c5b-4616-4fe1-95ef-6a63bfbef63b.jpg,long_sleeved_shirt,573.jpg,black,winter
daf48785-8bc1-456b-bcfd-28c09cee0aa6.jpg,short_sleeved_outwear,567.jpg,gray,winter
56a79946-8438-402a-a00e-4c0e3be72540.jpg,trousers,567.jpg,lavender,winter
47b2cccb-462c-477e-8553-9d903fc70635.jpg,short_sleeved_dress,567.jpg,lavender,winter
c2bf5ffc-36dc-49ed-9b4b-bea12bd57203.jpg,trousers,599.jpg,darkgray,winter
43f7b14b-ee1f-428c-93d4-946ea044414a.jpg,long_sleeved_shirt,599.jpg,darkgray,winter
10b325a4-cfc5-454b-8a0a-eae1190f177e.jpg,skirt,599.jpg,darkgray,winter
468c988d-6163-430e-b07e-2456be672cc4.jpg,skirt,759.jpg,black,winter
bcbd1d47-a1d9-48bf-ba1b-797097aae1a4.jpg,short_sleeved_outwear,759.jpg,black,winter
788c7009-5d26-4b95-b2e7-12b268c191da.jpg,long_sleeved_shirt,759.jpg,black,winter
a2351683-c9f3-42c9-aa9c-14d5933ff8fc.jpg,trousers,412.jpg,black,winter
2c3424c1-58a9-4f2e-9e97-c309763ddd46.jpg,vest,412.jpg,black,winter
94e80c73-fc2f-44f0-8d9e-b8d636e6bb37.jpg,short_sleeved_dress,412.jpg,black,winter
cef21dc8-a1f9-4594-87fa-b4947f264082.jpg,skirt,758.jpg,steelblue,autumn
bb2d6ded-b095-4c32-8fb8-4686e85552ac.jpg,short_sleeved_outwear,758.jpg,dimgray,autumn
aaf33feb-dc17-45ed-b935-4c18b914d372.jpg,trousers,200.jpg,black,winter
a2f84449-a4fd-4dd1-aefa-f3224a7032bf.jpg,long_sleeved_shirt,200.jpg,black,winter
577c9c2f-9ccc-4475-a949-c373bbdc2de0.jpg,short_sleeved_outwear,200.jpg,firebrick,autumn
12ffed4a-771d-40e8-b46e-f8a30cd65f4e.jpg,short_sleeved_outwear,572.jpg,lavender,winter
1be708c6-d8a0-4a6b-98f8-300edbfce935.jpg,trousers,572.jpg,black,winter
dec6df19-26dd-4a1b-b188-6e91d6023429.jpg,skirt,566.jpg,darkgray,winter
c13a013f-0f52-4355-8b5f-90099e248bed.jpg,short_sleeved_outwear,566.jpg,darkslateblue,winter
f8dc8d5b-d314-4c1a-9138-fba7ff354a7d.jpg,vest,566.jpg,black,winter
574ddf78-5576-4885-b0e5-e1c539b06dee.jpg,short_sleeved_outwear,228.jpg,khaki,autumn
c981da73-af9f-4264-a7f8-cca56d7d0f1a.jpg,,374.jpg,black,winter
825d11c3-bbe4-47fc-bbcf-21e9a68ad183.jpg,skirt,374.jpg,black,winter
d10ae8f9-c238-40a0-9193-845db1118332.jpg,skirt,406.jpg,black,winter
5aaf468b-9d27-43ba-8cb9-98d0384ab4e3.jpg,trousers,406.jpg,black,winter
b2e49218-f94c-4ff0-85b7-bd455437148a.jpg,short_sleeved_outwear,360.jpg,rosybrown,summer
d65b711a-2771-4e6d-809e-89db22be3887.jpg,short_sleeved_dress,360.jpg,black,winter
66998a19-6eb0-4e44-a2a7-8a6ae6663388.jpg,vest,360.jpg,rosybrown,summer
45f1efd7-7474-4bf6-ac6d-15e851a00d18.jpg,skirt,77.jpg,black,winter
365bfd6c-082e-4746-ab40-24edcd3c76c6.jpg,vest,162.jpg,orangered,spring
057a5f9c-3a69-4afc-a6ca-f56e6f101cad.jpg,trousers,162.jpg,orangered,spring
c2ad55d1-ca57-45f2-aa5b-82b158c86437.jpg,trousers,162.jpg,orangered,spring
ad3bea9e-4662-43e0-8303-03081022ebe8.jpg,short_sleeved_outwear,638.jpg,thistle,summer
35842ab1-d128-494e-b601-5a5087ce2604.jpg,skirt,638.jpg,black,winter
44cb5408-21d1-4a86-822e-0322b61ff99d.jpg,short_sleeved_dress,638.jpg,black,winter
d90bb985-135d-4b35-9f03-4553c2ac72a7.jpg,short_sleeved_outwear,610.jpg,silver,summer
95dc8d05-3da4-4a14-bf58-5526f54e5108.jpg,skirt,610.jpg,darkslategray,winter
bcd4c565-1b7f-4be7-b6ce-c3fec429a7cd.jpg,short_sleeved_outwear,348.jpg,silver,summer
b0de49d2-b1de-4e11-92a5-7973de6f970f.jpg,skirt,348.jpg,darkslateblue,winter
26340aae-8f95-4b04-899d-54c495b3b263.jpg,skirt,88.jpg,rosybrown,summer
dd9fc066-4de3-4dfe-b65a-6df4246def3c.jpg,skirt,604.jpg,dimgray,autumn
85a09c4c-15e5-4555-b393-67bdad307345.jpg,short_sleeved_outwear,604.jpg,lavender,winter
9866d741-2e15-4041-9a25-c55c68121c7c.jpg,short_sleeved_outwear,189.jpg,darkslategray,winter
6f08fe48-0e61-44b3-9e0a-6f43cfeb10f3.jpg,trousers,189.jpg,darkslategray,winter
96a92867-d00d-4f6c-be2d-8032916cd8ff.jpg,skirt,63.jpg,darkslategray,winter
cfae0fc3-c604-43d0-9f24-0008e959fba5.jpg,short_sleeved_outwear,63.jpg,darkslategray,winter
c1c7ef9e-6a23-4bb9-b1df-357cc7b5261e.jpg,trousers,63.jpg,darkslategray,winter
bc093d05-90ce-405a-9afa-5dbd1901ad92.jpg,vest,63.jpg,darkslategray,winter
9194a1d4-6468-4b37-919c-8413acf370f0.jpg,trousers,65.jpg,lightseagreen,autumn
99b8efe1-0c2a-466c-a104-4ae86b68d5b2.jpg,trousers,148.jpg,lightgray,winter
274efab9-0e75-43ca-af17-f490832fb02b.jpg,short_sleeved_outwear,148.jpg,lavender,winter
521074f0-1276-40f8-a1dc-0526d528d703.jpg,long_sleeved_shirt,61.jpg,silver,summer
6a5df090-ff14-4ddd-9726-faadb904ca30.jpg,trousers,61.jpg,black,winter
d8a5c5cf-ae7d-4d85-9b16-7105548bfc1e.jpg,vest,174.jpg,skyblue,summer
8728b757-8fc2-40e8-a22c-a593806dba10.jpg,trousers,174.jpg,skyblue,summer
c90120c9-9f96-4980-8d29-bcff7ebd46f4.jpg,short_sleeved_outwear,612.jpg,black,winter
